PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,los angeles,,,,,,,,,
Location:,"LOS ANGELES INTL ARPT, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,30,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,34.1,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.3	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,16,10,824,87,19.4,2.1,841.342,41.409,666.439,641.319
1,16,11,863,94,21.1,1.5,943.266,48.272,722.048,694.611
1,16,12,864,94,23.3,1.5,947.598,50.779,715.804,688.633
1,16,13,723,101,22.2,3.6,783.447,40.154,624.778,601.324
1,16,14,708,76,20.6,4.6,648.458,33.899,530.824,510.91
1,16,15,610,56,19.4,3.6,445.116,29.39,365.55,351.133
1,16,16,281,31,17.2,3.6,160.681,20.346,130.462,122.26
1,16,17,2,1,15,2.6,1.426,13.694,1.185,0
1,16,18,0,0,14.4,1,0,14.4,0,0
1,16,19,0,0,14.4,1,0,14.4,0,0
1,16,20,0,0,14.4,1.5,0,14.4,0,0
1,16,21,0,0,12.2,2.6,0,12.2,0,0
1,16,22,0,0,13.3,2.1,0,13.3,0,0
1,16,23,0,0,12.2,0,0,12.2,0,0
1,17,0,0,0,11.7,0,0,11.7,0,0
1,17,1,0,0,9.4,2.1,0,9.4,0,0
1,17,2,0,0,10.6,1.5,0,10.6,0,0
1,17,3,0,0,11.7,0,0,11.7,0,0
1,17,4,0,0,13.3,3.1,0,13.3,0,0
1,17,5,0,0,11.7,3.1,0,11.7,0,0
1,17,6,0,0,12.8,3.1,0,12.8,0,0
1,17,7,49,35,12.8,1.5,62.017,12.435,54.403,47.808
1,17,8,333,90,18.3,3.1,309.941,24.239,261.607,250.171
1,17,9,513,130,21.1,1.5,551.72,36.097,446.824,429.82
1,17,10,607,158,23.9,4.1,740.056,39.39,592.431,570.23
1,17,11,651,171,25,1,840.9,51.236,633.686,609.88
1,17,12,655,172,26.1,1.5,848.757,50.583,641.876,617.745
1,17,13,617,160,27.2,1.5,759.302,49.362,577.436,555.803
1,17,14,526,133,26.7,3.6,575.547,39.726,458.205,440.821
